epiweek,area,nhser_name,age_band,neg,pos,n,S_positive,S_negative,total,n501y
47,Shropshire and Telford and Wrekin,Midlands,0-9,2.76470588235294,44.2352941176471,17,16,1,47,0.0588235294117647
46,Shropshire and Telford and Wrekin,Midlands,0-9,6.77777777777778,54.2222222222222,9,8,1,61,0.111111111111111
45,Shropshire and Telford and Wrekin,Midlands,0-9,0,38,11,11,0,38,0
44,Shropshire and Telford and Wrekin,Midlands,0-9,0,30,10,10,0,30,0
50,Shropshire and Telford and Wrekin,Midlands,0-9,2.76470588235294,44.2352941176471,34,32,2,47,0.0588235294117647
43,Shropshire and Telford and Wrekin,Midlands,0-9,2.66666666666667,21.3333333333333,9,8,1,24,0.111111111111111
48,Shropshire and Telford and Wrekin,Midlands,0-9,2,40,21,20,1,42,0.0476190476190476
49,Shropshire and Telford and Wrekin,Midlands,0-9,1.28571428571429,16.7142857142857,14,13,1,18,0.0714285714285714
47,Sussex and East Surrey,South East,0-9,34.1860465116279,63.8139534883721,43,28,15,98,0.348837209302326
48,Sussex and East Surrey,South East,0-9,54.3962264150943,38.6037735849057,53,22,31,93,0.584905660377358
50,Sussex and East Surrey,South East,0-9,145.588235294118,34.4117647058824,136,26,110,180,0.808823529411765
45,Sussex and East Surrey,South East,0-9,3.73684210526316,67.2631578947368,19,18,1,71,0.0526315789473684
43,Sussex and East Surrey,South East,0-9,0,46,5,5,0,46,0
49,Sussex and East Surrey,South East,0-9,87.9879518072289,21.0120481927711,83,16,67,109,0.807228915662651
46,Sussex and East Surrey,South East,0-9,20.4210526315789,76.5789473684211,19,15,4,97,0.210526315789474
46,Herefordshire and Worcestershire,Midlands,0-9,0,69,6,6,0,69,0
43,Herefordshire and Worcestershire,Midlands,0-9,0,39,8,8,0,39,0
44,Herefordshire and Worcestershire,Midlands,0-9,0,39,13,13,0,39,0
50,Herefordshire and Worcestershire,Midlands,0-9,0,25,16,16,0,25,0
48,Herefordshire and Worcestershire,Midlands,0-9,3,33,12,11,1,36,0.0833333333333333
47,Herefordshire and Worcestershire,Midlands,0-9,0,68,18,18,0,68,0
45,Herefordshire and Worcestershire,Midlands,0-9,0,55,23,23,0,55,0
49,Herefordshire and Worcestershire,Midlands,0-9,1.30434782608696,28.695652173913,23,22,1,30,0.0434782608695652
49,Kent and Medway,South East,0-9,482.280373831776,49.7196261682243,214,20,194,532,0.906542056074766
48,Kent and Medway,South East,0-9,279.17094017094,87.8290598290598,117,28,89,367,0.760683760683761
47,Kent and Medway,South East,0-9,154.189655172414,116.810344827586,58,25,33,271,0.568965517241379
50,Kent and Medway,South East,0-9,627.560606060606,51.4393939393939,330,25,305,679,0.924242424242424
43,Kent and Medway,South East,0-9,9,36,15,12,3,45,0.2
45,Kent and Medway,South East,0-9,65.8928571428571,57.1071428571429,28,13,15,123,0.535714285714286
49,Greater Manchester Health and Social Care Partnership,North West,0-9,10.6,254.4,175,168,7,265,0.04
