subgroup,Y2018,AREA
All,5692699.5,South West (Y58)
Over25,4105525.5,South West (Y58)
Under25,1587174,South West (Y58)
All,8298701.5,South East (Y59)
Over25,5859262.5,South East (Y59)
Under25,2439439,South East (Y59)
All,7122316.5,North West (Y62)
Over25,4981796,North West (Y62)
Under25,2140520.5,North West (Y62)
All,8555579.5,North East and Yorkshire (Y63)
Over25,6012389,North East and Yorkshire (Y63)
Under25,2543190.5,North East and Yorkshire (Y63)
All,10558909.5,Midlands (Y60)
Over25,7350609,Midlands (Y60)
Under25,3208300.5,Midlands (Y60)
All,8961989,London (Y56)
Over25,6182359,London (Y56)
Under25,2779630,London (Y56)
All,6552792.5,East of England (Y61)
Over25,4642264,East of England (Y61)
Under25,1910528.5,East of England (Y61)
All,56286961,England
Over25,39516777,England
Under25,16770184,England
All,2521871,West Yorkshire and Harrogate (Health and Care Partnership)
Over25,1716476,West Yorkshire and Harrogate (Health and Care Partnership)
Under25,805395,West Yorkshire and Harrogate (Health and Care Partnership)
All,1389599.5,"Humber, Coast and Vale"
Over25,999590,"Humber, Coast and Vale"
Under25,390009.5,"Humber, Coast and Vale"
All,2882019,Greater Manchester Health and Social Care Partnership
Over25,1963695,Greater Manchester Health and Social Care Partnership
Under25,918324,Greater Manchester Health and Social Care Partnership
All,2496557,Cheshire and Merseyside
Over25,1779464,Cheshire and Merseyside
Under25,717093,Cheshire and Merseyside
All,1526479,South Yorkshire and Bassetlaw
Over25,1062416,South Yorkshire and Bassetlaw
Under25,464063,South Yorkshire and Bassetlaw
All,1135935,Staffordshire and Stoke on Trent
Over25,818115,Staffordshire and Stoke on Trent
Under25,317820,Staffordshire and Stoke on Trent
All,502990,Shropshire and Telford and Wrekin
Over25,365845,Shropshire and Telford and Wrekin
Under25,137145,Shropshire and Telford and Wrekin
All,1013663,Joined Up Care Derbyshire
Over25,731117,Joined Up Care Derbyshire
Under25,282546,Joined Up Care Derbyshire
All,761224,Lincolnshire
Over25,555175,Lincolnshire
Under25,206049,Lincolnshire
All,1043665,Nottingham and Nottinghamshire Health and Care
Over25,714072,Nottingham and Nottinghamshire Health and Care
Under25,329593,Nottingham and Nottinghamshire Health and Care
All,1100306,"Leicester, Leicestershire and Rutland"
Over25,751478,"Leicester, Leicestershire and Rutland"
Under25,348828,"Leicester, Leicestershire and Rutland"
All,1769789,The Black Country and West Birmingham
Over25,1177663,The Black Country and West Birmingham
Under25,592126,The Black Country and West Birmingham
All,787282,Birmingham and Solihull
Over25,510225,Birmingham and Solihull
Under25,277057,Birmingham and Solihull
All,949454,Coventry and Warwickshire
Over25,653159,Coventry and Warwickshire
Under25,296295,Coventry and Warwickshire
All,788587,Herefordshire and Worcestershire
Over25,579866,Herefordshire and Worcestershire
Under25,208721,Herefordshire and Worcestershire
All,706014.5,Northamptonshire
Over25,493894,Northamptonshire
Under25,212120.5,Northamptonshire
All,969844.5,Cambridgeshire and Peterborough
