subgroup,Y2018,AREA
Over25,676334.5,Cambridgeshire and Peterborough
Under25,293510,Cambridgeshire and Peterborough
All,1032490.5,Norfolk and Waveney Health and Care Partnership
Over25,758237,Norfolk and Waveney Health and Care Partnership
Under25,274253.5,Norfolk and Waveney Health and Care Partnership
All,977886.5,Suffolk and North East Essex
Over25,706875,Suffolk and North East Essex
Under25,271011.5,Suffolk and North East Essex
All,944449,"Bedfordshire, Luton and Milton Keynes"
Over25,648002,"Bedfordshire, Luton and Milton Keynes"
Under25,296447,"Bedfordshire, Luton and Milton Keynes"
All,1432774,Hertfordshire and West Essex
Over25,1002474.5,Hertfordshire and West Essex
Under25,430299.5,Hertfordshire and West Essex
All,1195348,Mid and South Essex
Over25,850341,Mid and South Essex
Under25,345007,Mid and South Essex
All,2103719,North West London Health and Care Partnership
Over25,1454630,North West London Health and Care Partnership
Under25,649089,North West London Health and Care Partnership
All,1510806,North London Partners in Health and Care
Over25,1038418,North London Partners in Health and Care
Under25,472388,North London Partners in Health and Care
All,2023383,East London Health and Care Partnership
Over25,1357643,East London Health and Care Partnership
Under25,665740,East London Health and Care Partnership
All,1819271,Our Healthier South East London
Over25,1276604,Our Healthier South East London
Under25,542667,Our Healthier South East London
All,1504810,South West London Health and Care Partnership
Over25,1055064,South West London Health and Care Partnership
Under25,449746,South West London Health and Care Partnership
All,1860111,Kent and Medway
Over25,1307494,Kent and Medway
Under25,552617,Kent and Medway
All,1874597,Sussex and East Surrey
Over25,1360927,Sussex and East Surrey
Under25,513670,Sussex and East Surrey
All,793673,Frimley Health
Over25,546412.5,Frimley Health
Under25,247260.5,Frimley Health
All,806705.5,Surrey Heartlands
Over25,567651.5,Surrey Heartlands
Under25,239054,Surrey Heartlands
All,571802,Cornwall and the Isles of Scilly
Over25,420812,Cornwall and the Isles of Scilly
Under25,150990,Cornwall and the Isles of Scilly
All,1200739,Devon
Over25,875002,Devon
Under25,325737,Devon
All,562225,Somerset
Over25,415304,Somerset
Under25,146921,Somerset
All,963522,"Bristol, North Somerset and South Gloucestershire"
Over25,664177,"Bristol, North Somerset and South Gloucestershire"
Under25,299345,"Bristol, North Somerset and South Gloucestershire"
All,983502.5,"Bath and North East Somerset, Swindon and Wiltshire"
Over25,696618.5,"Bath and North East Somerset, Swindon and Wiltshire"
Under25,286884,"Bath and North East Somerset, Swindon and Wiltshire"
All,773839,Dorset
Over25,572413,Dorset
Under25,201426,Dorset
All,1848602.5,Hampshire and the Isle of Wight
Over25,1308530,Hampshire and the Isle of Wight
Under25,540072.5,Hampshire and the Isle of Wight
All,637070,Gloucestershire
Over25,461199,Gloucestershire
Under25,175871,Gloucestershire
All,1115012.5,"Buckinghamshire, Oxfordshire and Berkshire West"
Over25,768247.5,"Buckinghamshire, Oxfordshire and Berkshire West"
Under25,346765,"Buckinghamshire, Oxfordshire and Berkshire West"
All,1743740.5,Healthier Lancashire and South Cumbria
Over25,1238637,Healthier Lancashire and South Cumbria
Under25,505103.5,Healthier Lancashire and South Cumbria
All,3117630,Cumbria and North East
Over25,2233907,Cumbria and North East
Under25,883723,Cumbria and North East
