date,region,B.1.1.7,Other
2020-10-01,East of England,0,40.6306139255727
2020-10-01,London,0.600387275451679,77.6942577049827
2020-10-01,Midlands,0,97.2414356628838
2020-10-01,North East and Yorkshire,0,400.924718535256
2020-10-01,North West,0,148.176481915602
2020-10-01,South East,0,28.7609180079328
2020-10-01,South West,0,17.723313054882
2020-10-02,East of England,0,1.80460936911859
2020-10-02,London,0,7.58302560138605
2020-10-02,Midlands,0,13.3049392427785
2020-10-02,North East and Yorkshire,0,181.5269628429
2020-10-02,North West,0,99.9328981701169
2020-10-02,South East,0,0.6411942509007
2020-10-02,South West,0,2.37932389718845
2020-10-03,East of England,0,29.8132810860835
2020-10-03,London,0,64.8037565571667
2020-10-03,Midlands,0,28.3382476249513
2020-10-03,North East and Yorkshire,0,69.4701627591588
2020-10-03,North West,0,21.6049850462343
2020-10-03,South East,0,32.5574292713287
2020-10-03,South West,0,52.1179719261095
2020-10-04,East of England,0,9.63614406530707
2020-10-04,London,0,21.9153245045405
2020-10-04,Midlands,0,32.5046012670033
2020-10-04,North East and Yorkshire,0,43.6594035655807
2020-10-04,North West,0,27.1361458571895
2020-10-04,South East,0,9.7982964373158
2020-10-04,South West,0,4.98325834866497
2020-10-05,East of England,0,22.3611427669976
2020-10-05,London,0,43.8915615486364
2020-10-05,Midlands,0,251.440891118124
2020-10-05,North East and Yorkshire,0,323.566342994609
2020-10-05,North West,0,338.535421049957
2020-10-05,South East,0,42.8287311252949
2020-10-05,South West,0,48.0845843332841
2020-10-06,East of England,0,51.6548499183444
2020-10-06,London,0,85.2351506014311
2020-10-06,Midlands,0,151.471393672018
2020-10-06,North East and Yorkshire,0,156.166900984875
2020-10-06,North West,0,307.825836274773
2020-10-06,South East,0,89.564073988291
2020-10-06,South West,0,55.3218048241522
2020-10-07,East of England,0,1.9128568463873
2020-10-07,London,0,12.8049751453155
2020-10-07,Midlands,0,129.08503901511
2020-10-07,North East and Yorkshire,0,404.895875970042
2020-10-07,North West,0,309.758836835297
2020-10-07,South East,0,6.48190370180383
2020-10-07,South West,0,8.19035197075487
2020-10-08,East of England,0,7.37085974237425
2020-10-08,London,0.554846363758024,12.1786780579194
2020-10-08,Midlands,0,49.1889872648656
2020-10-08,North East and Yorkshire,0,68.9878493993654
2020-10-08,North West,0,144.69618921324
2020-10-08,South East,0,21.4566359138918
2020-10-08,South West,0,16.0962272763216
2020-10-09,East of England,0,14.9545578368214
2020-10-09,London,0,29.2524368993435
2020-10-09,Midlands,0,78.9182081600908
2020-10-09,North East and Yorkshire,0,88.2547246562159
2020-10-09,North West,0,106.529699079119
2020-10-09,South East,0,13.8234332228296
2020-10-09,South West,0,17.8374168307502
2020-10-10,East of England,0,6.16749491557001
2020-10-10,London,0,7.0513287587012
2020-10-10,Midlands,0,27.0148847962704
2020-10-10,North East and Yorkshire,0,48.9184885325385
2020-10-10,North West,0,62.368780450217
2020-10-10,South East,0,6.31519067891085
2020-10-10,South West,0,31.726091345255
