time,date,datetime,mean_B117,median_B117,upper_B117,lower_B117,mean_B1177,median_B1177,upper_B1177,lower_B1177,mean_other,median_other,upper_other,lower_other
2020.721951,2020-09-19,2020-09-19T12:17:41,0.028909442,0.034153727,1.014737332,5.65E-04,4.280144256,4.096443196,1.79E+01,1.027068998,23.35799586,22.42900658,7.46E+01,7.733149462
2020.713532,2020-09-16,2020-09-16T10:32:19,0.024655339,0.030234376,0.864703627,2.88E-04,3.485395609,3.31999877,1.44E+01,0.861495045,23.93095922,22.24790221,7.09E+01,8.544264508
2020.705112,2020-09-13,2020-09-13T08:46:57,0.021635636,0.027095687,1.318664367,2.15E-04,2.903587027,2.765283868,1.17E+01,0.752535661,24.02219203,21.82181204,7.59E+01,8.745328029
2020.696693,2020-09-10,2020-09-10T07:01:36,0.018967494,0.024083704,1.533458651,1.32E-04,2.399203105,2.272127613,1.01E+01,0.617069428,23.26339718,20.68633538,8.21E+01,8.445412617
2020.688273,2020-09-07,2020-09-07T05:16:14,0.01722836,0.022510117,1.59229947,7.45E-05,1.84040401,1.741095913,8.48E+00,0.478048106,21.53918221,19.10649616,7.66E+01,7.996380253
2020.679853,2020-09-04,2020-09-04T03:30:53,0.016206573,0.020786116,2.12262657,5.80E-05,1.276970357,1.216496572,5.57E+00,0.321716998,18.40406269,16.62604286,5.46E+01,7.084253708
2020.671434,2020-09-01,2020-09-01T01:45:31,0.015293161,0.019449641,2.552367969,4.06E-05,0.758697485,0.751930683,2.62E+00,0.198255715,14.03077749,13.21598137,3.58E+01,6.755367449
2020.663014,2020-08-29,2020-08-29T00:00:09,0.014696437,0.018696576,3.953611627,2.98E-05,0.367504625,0.382342166,9.06E-01,0.125842452,8.936674835,9.083640714,1.37E+01,5.684219166
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
