time,date,datetime,mean_B117,median_B117,upper_B117,lower_B117,mean_B1177,median_B1177,upper_B1177,lower_B1177,mean_other,median_other,upper_other,lower_other
2021.008219,2021-01-02,2021-01-02T23:59:54,719.0767805,529.7934268,48064.32795,19.39653059,31.52645481,30.19471815,244.8753618,3.591743967,56.34889114,57.44907871,284.900266,9.216752055
2020.999799,2020-12-29,2020-12-29T22:14:33,773.4235427,556.2030678,26612.36958,42.93016793,32.70266994,30.87053755,196.7663642,6.235876904,57.18828663,57.65694522,246.4566491,13.4932668
2020.99138,2020-12-26,2020-12-26T20:29:11,761.6956732,552.4639364,19680.19623,68.73543852,36.68558576,34.49677648,147.3483662,10.21699637,64.04087267,62.83297898,190.6183899,20.92510056
2020.98296,2020-12-23,2020-12-23T18:43:50,661.5835662,499.6143579,11252.51474,68.69713347,38.8220456,37.11615991,127.1938657,12.51255364,73.00311898,70.01877352,205.7212368,29.730554
2020.97454,2020-12-20,2020-12-20T16:58:28,457.9076304,367.6609189,5608.188785,53.17155851,39.94279422,38.31407547,122.2840596,13.79065174,75.90436743,72.28138458,187.5922823,31.37434138
2020.966121,2020-12-17,2020-12-17T15:13:06,309.4812229,253.8455336,2863.603008,51.54464478,43.68011292,42.24666532,123.5518936,16.18896714,77.83264325,74.37866848,176.6604252,33.63998939
2020.957701,2020-12-14,2020-12-14T13:27:45,227.8457261,196.5973197,1430.555036,50.33608084,47.74851477,45.93192152,129.7651813,19.1673508,72.33659438,70.58702864,153.6797337,33.06801762
2020.949282,2020-12-11,2020-12-11T11:42:23,138.5292024,125.6346094,683.4049295,35.19807305,47.18434117,45.43295802,125.2310282,19.55498249,65.44848775,65.45875938,135.3064395,30.11583447
2020.940862,2020-12-08,2020-12-08T09:57:02,69.44725643,66.58130598,276.4410656,15.15790646,46.20631254,45.09503071,120.8660799,18.95637348,66.49076455,67.43645995,138.6923351,31.98371043
2020.932442,2020-12-05,2020-12-05T08:11:40,62.90325889,58.25030706,259.2856612,17.17462411,51.75814108,49.92141404,138.6156919,21.18502455,78.15618518,77.09328673,158.0982812,38.22911771
2020.924023,2020-12-02,2020-12-02T06:26:19,52.02138485,45.78412437,275.2727042,13.1208546,54.30043875,51.94440489,151.0808656,21.95432123,92.93477344,89.51311763,213.2746579,44.63018626
2020.915603,2020-11-29,2020-11-29T04:40:57,31.10645011,27.57317811,156.4952983,8.134993705,53.02009273,50.79052064,145.114214,19.57404579,102.5477614,97.86336929,245.4711306,45.12704659
2020.907183,2020-11-26,2020-11-26T02:55:35,22.28125567,20.70570162,74.14074342,7.07393374,47.72143089,46.3415071,136.9090042,17.91066436,104.7333084,100.6501208,261.142063,44.56709821
2020.898764,2020-11-23,2020-11-23T01:10:14,15.72530364,15.11574802,58.90150713,4.214512153,45.85045012,44.84233958,128.0444535,16.4520131,109.8900876,105.5155056,276.7272748,46.31931215
2020.890344,2020-11-19,2020-11-19T23:24:52,21.45901676,19.6186189,77.43657797,6.78729789,49.74267778,48.27647464,145.2750595,18.2960274,117.746144,111.3961953,309.7992413,49.30476626
2020.881924,2020-11-16,2020-11-16T21:39:31,20.68797697,18.55834772,82.41267086,6.245751692,61.37300632,58.91502732,173.6295478,22.35982749,120.8450133,113.5438758,309.7143657,50.08870315
2020.873505,2020-11-13,2020-11-13T19:54:09,13.25901963,12.33706344,48.3739411,3.814119873,65.72782907,62.06009629,217.6828066,23.20436011,115.2998176,109.2834149,296.636172,49.55983506
2020.865085,2020-11-10,2020-11-10T18:08:47,8.683234643,8.293108806,34.90179964,2.341968304,65.05206559,60.96104341,216.4023657,22.93177973,101.5017884,97.71846131,267.4185663,45.43366689
2020.856666,2020-11-07,2020-11-07T16:23:26,10.21343839,9.058175921,47.27555224,2.616984365,58.77048413,55.77444796,187.4945262,19.84731971,85.55757878,84.51467964,205.0849393,34.70960454
2020.848246,2020-11-04,2020-11-04T14:38:04,7.547846478,6.550979542,44.90360927,1.583093946,50.81616403,48.65698469,150.9033733,17.5110248,75.28956472,75.28794402,185.0333428,32.41180412
2020.839826,2020-11-01,2020-11-01T12:52:43,3.887336632,3.500810335,20.19124176,0.872723819,42.1923023,41.09526893,132.1612132,14.52479136,69.64787662,69.46095438,169.7165654,28.6723288
2020.831407,2020-10-29,2020-10-29T11:07:21,1.276040711,1.216740649,4.66741639,0.370344352,37.8291195,36.45182818,112.8902339,13.22245649,65.64861853,65.22792608,160.0369649,26.99875013
2020.822987,2020-10-26,2020-10-26T09:22:00,0.807636302,0.771831995,2.563244167,0.25508753,35.31692303,34.12585216,103.4407487,11.79171892,63.09249672,62.24161746,150.1437454,24.65021958
2020.814567,2020-10-23,2020-10-23T07:36:38,0.786388327,0.73425149,3.162273934,0.216716438,32.48753312,31.00481505,101.1053344,10.97571237,62.79548652,61.42249724,159.9464493,25.6331412
2020.806148,2020-10-20,2020-10-20T05:51:16,0.537116552,0.51236122,1.877172065,0.164186818,29.19943756,27.82159469,86.00215568,10.14073551,61.09314997,59.54217385,151.3531504,24.52025542
2020.797728,2020-10-17,2020-10-17T04:05:55,0.502384042,0.483588077,2.173444416,0.111946347,24.40136959,23.67712611,72.00611414,8.642765275,56.99370153,55.31776071,147.4184719,20.74379874
2020.789309,2020-10-14,2020-10-14T02:20:33,0.347072919,0.33650779,2.066260891,0.054340284,19.91596129,19.56412553,56.28796343,6.601298363,51.03915793,50.79366599,148.4408838,16.90335899
2020.780889,2020-10-11,2020-10-11T00:35:12,0.224797297,0.217845585,1.616093637,0.031051162,18.26888684,17.81617685,55.37892521,6.210894492,45.10352938,44.70409974,141.5014295,14.46507133
2020.772469,2020-10-07,2020-10-07T22:49:50,0.148520409,0.146414269,1.157421881,0.016270301,16.76676887,16.16816882,57.87884732,5.636207916,38.65834934,39.17383914,123.6517027,10.67559566
2020.76405,2020-10-04,2020-10-04T21:04:28,0.105641919,0.109863817,1.184047112,0.009984727,14.94061318,14.44066949,52.5775687,4.375718365,32.85525447,33.88725385,111.835854,8.11018549
2020.75563,2020-10-01,2020-10-01T19:19:07,0.079158801,0.083291339,1.080045748,0.005251833,12.28404022,11.87967808,50.07427733,3.540886001,28.92686455,29.09723584,107.1595209,7.625989327
2020.74721,2020-09-28,2020-09-28T17:33:45,0.059066504,0.065006279,1.033929736,0.002893659,9.681844671,9.431020312,36.89036102,2.364919364,26.26754694,25.79890426,88.37900693,6.74017922
2020.738791,2020-09-25,2020-09-25T15:48:24,0.044923789,0.050754849,1.063191772,0.001651533,7.336996582,7.197272634,31.43596424,1.835298881,24.06170015,23.55605036,83.60183981,6.862398127
2020.730371,2020-09-22,2020-09-22T14:03:02,0.035687147,0.041268158,1.173445478,0.001051026,5.545202093,5.400823975,25.05467093,1.369079855,23.15321324,22.46655447,77.88091823,7.156948587
